video-platform	entertainment/streaming-video
online-video	entertainment/streaming-video
video-streaming	entertainment/streaming-video
music-streaming	entertainment/streaming-audio
social-network	communication/social
social-media	communication/social
instant-messaging	communication/chat
forum	communication/forums
e-commerce	commerce/shopping
online-shopping	commerce/shopping
software-updates	system/software-update
cdn	infrastructure/cdn
cloud-storage	infrastructure/cloud-storage
advertising	risk/advertising
tracking	risk/tracking
malware	risk/malware
phishing	risk/phishing
gambling	risk/gambling
adult	risk/nsfw
